Entity,Code,Date,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2021_all_ages
Austria,AUT,2020-01-05,1611,1809,1704,1634,2293,1767,1647,1946
Austria,AUT,2020-01-12,1702,1857,1768,1626,2340,1842,1709,
Austria,AUT,2020-01-19,1797,1786.4,1837,1608,2060,1786,1641,
Austria,AUT,2020-01-26,1779,1747,1792,1578,1938,1714,1713,
Austria,AUT,2020-02-02,1947,1818.6,1837,1609,2045,1870,1732,
Austria,AUT,2020-02-09,1682,1836.8,1926,1650,1874,1938,1796,
Austria,AUT,2020-02-16,1721,1812.8,1992,1621,1750,1881,1820,
Austria,AUT,2020-02-23,1718,1822,2020,1581,1807,1951,1751,
Austria,AUT,2020-03-01,1768,1815.6,1883,1714,1696,2021,1764,
Austria,AUT,2020-03-08,1744,1753.6,1846,1532,1614,1965,1811,
Austria,AUT,2020-03-15,1718,1711.4,1763,1516,1542,1946,1790,
Austria,AUT,2020-03-22,1836,1598,1696,1499,1535,1641,1619,
Austria,AUT,2020-03-29,1765,1645.8,1725,1598,1489,1766,1651,
Austria,AUT,2020-04-05,1828,1585.4,1604,1562,1537,1617,1607,
Austria,AUT,2020-04-12,1793,1546.2,1563,1520,1532,1560,1556,
Austria,AUT,2020-04-19,1704,1523.4,1614,1413,1475,1557,1558,
Austria,AUT,2020-04-26,1588,1470.2,1547,1460,1440,1383,1521,
Austria,AUT,2020-05-03,1480,1464.6,1453,1447,1527,1434,1462,
Austria,AUT,2020-05-10,1520,1439.4,1452,1486,1434,1372,1453,
Austria,AUT,2020-05-17,1489,1463,1461,1453,1501,1342,1558,
Austria,AUT,2020-05-24,1481,1421.6,1396,1505,1327,1383,1497,
Austria,AUT,2020-05-31,1418,1414.4,1304,1402,1456,1415,1495,
Austria,AUT,2020-06-07,1490,1412.4,1437,1360,1312,1433,1520,
Austria,AUT,2020-06-14,1461,1443.4,1502,1348,1421,1392,1554,
Austria,AUT,2020-06-21,1413,1407.6,1285,1452,1476,1401,1424,
Austria,AUT,2020-06-28,1437,1399.8,1374,1338,1419,1414,1454,
Austria,AUT,2020-07-05,1561,1435.2,1487,1328,1413,1441,1507,
Austria,AUT,2020-07-12,1383,1377.4,1476,1323,1346,1404,1338,
Austria,AUT,2020-07-19,1443,1469.8,1475,1458,1475,1511,1430,
Austria,AUT,2020-07-26,1452,1488.8,1633,1424,1375,1455,1557,
Austria,AUT,2020-08-02,1527,1504.8,1446,1390,1616,1615,1457,
Austria,AUT,2020-08-09,1433,1426.2,1500,1359,1334,1532,1406,
Austria,AUT,2020-08-16,1607,1460.6,1692,1394,1380,1430,1407,
Austria,AUT,2020-08-23,1477,1433.8,1376,1408,1472,1460,1453,
Austria,AUT,2020-08-30,1499,1426.8,1476,1414,1329,1414,1501,
Austria,AUT,2020-09-06,1523,1377.2,1389,1380,1318,1376,1423,
